intern_id,attendance_rate,task_completion_rate,feedback_score,productivity_score,submission_rate,performance_label
INT001,0.95,0.92,4.5,0.88,0.94,High
INT002,0.78,0.65,3.0,0.55,0.60,Low
INT003,0.98,0.97,4.8,0.95,0.98,High
INT004,0.55,0.40,2.0,0.35,0.42,Low
INT005,0.88,0.82,4.0,0.76,0.80,Medium
INT006,0.72,0.58,2.5,0.48,0.55,Low
INT007,0.96,0.94,4.7,0.91,0.95,High
INT008,0.82,0.75,3.2,0.68,0.72,Medium
INT009,0.97,0.96,4.9,0.93,0.97,High
INT010,0.70,0.52,2.2,0.42,0.50,Low
INT011,0.85,0.78,3.5,0.72,0.76,Medium
INT012,0.94,0.91,4.6,0.87,0.92,High
INT013,0.68,0.48,2.1,0.38,0.45,Low
INT014,0.89,0.84,4.1,0.79,0.83,Medium
INT015,0.73,0.60,2.6,0.50,0.58,Low
INT016,0.83,0.76,3.3,0.70,0.74,Medium
INT017,0.90,0.86,4.2,0.81,0.85,High
INT018,0.65,0.42,1.8,0.32,0.40,Low
INT019,0.87,0.80,3.8,0.74,0.78,Medium
INT020,0.95,0.93,4.6,0.90,0.94,High
INT021,0.84,0.77,3.4,0.71,0.75,Medium
INT022,0.96,0.95,4.8,0.92,0.96,High
INT023,0.60,0.45,2.0,0.36,0.43,Low
INT024,0.86,0.81,3.9,0.75,0.79,Medium
INT025,0.71,0.55,2.4,0.45,0.52,Low
INT026,0.93,0.90,4.5,0.86,0.91,High
INT027,0.80,0.72,3.1,0.65,0.70,Medium
INT028,0.67,0.47,2.0,0.37,0.44,Low
INT029,0.88,0.83,4.0,0.77,0.82,Medium
INT030,0.97,0.95,4.7,0.93,0.96,High
INT031,0.91,0.87,4.3,0.82,0.88,High
INT032,0.81,0.74,3.2,0.67,0.71,Medium
INT033,0.85,0.79,3.6,0.73,0.77,Medium
INT034,0.76,0.62,2.7,0.52,0.60,Low
INT035,0.94,0.92,4.5,0.89,0.93,High
INT036,0.92,0.88,4.3,0.84,0.89,High
INT037,0.83,0.76,3.3,0.69,0.73,Medium
INT038,0.79,0.68,2.9,0.58,0.65,Medium
INT039,0.98,0.97,4.9,0.96,0.98,High
INT040,0.62,0.43,1.9,0.34,0.41,Low
INT041,0.87,0.81,3.8,0.75,0.80,Medium
INT042,0.84,0.77,3.5,0.71,0.75,Medium
INT043,0.90,0.85,4.1,0.80,0.84,High
INT044,0.86,0.80,3.7,0.74,0.78,Medium
INT045,0.91,0.88,4.2,0.83,0.87,High
INT046,0.93,0.91,4.4,0.87,0.91,High
INT047,0.82,0.75,3.3,0.68,0.73,Medium
INT048,0.69,0.50,2.2,0.40,0.48,Low
INT049,0.85,0.79,3.6,0.73,0.77,Medium
INT050,0.92,0.89,4.4,0.85,0.90,High
INT051,0.80,0.73,3.1,0.66,0.71,Medium
INT052,0.95,0.93,4.6,0.90,0.94,High
INT053,0.64,0.44,2.0,0.35,0.42,Low
INT054,0.87,0.82,3.9,0.76,0.80,Medium
INT055,0.96,0.94,4.7,0.92,0.95,High
